insight_id,source_id,source_location,subsystem,insight_type,observed_pattern,possible_star_cluster_application,kiss_risk,originality_guardrail,adoption_status,related_component_or_decision_ids,decision_note
RI-011,T4_STARSHIPS,"Controls and electronics, around p. 72",computing and sensors,support dependency,"Controls, computers, avionics, and navigation form a related integration chain.","Let Sensors/EW and advanced weapons depend modestly on Computing/Fire Control, using explicit floors and Adapted states rather than strict equal-TL rules.",medium,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",adopted with simplification,sensor_processing; beam_power_control; missile_launch_control,Star Cluster intentionally rejects universal same-TL restrictions.
RI-012,T4_STARSHIPS,"Controls and automation, around p. 72",computing and crew,tradeoff,Greater automation can reduce crew burden while increasing shared-system vulnerability.,Potential later trait: high automation may improve crew efficiency but make some internal failures or hostile intrusion propagate more easily.,high,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",deferred idea,future computing traits,Not part of Checkpoint 23 numeric foundation.
RI-013,T4_STARSHIPS,"Maneuver drive descriptions, around pp. 70-72",stl propulsion,operational context,A drive can be strong in one environment and constrained in another.,Allow selected drives or adaptations to carry clear context-specific limitations rather than only lower generic output.,medium,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",candidate,stl_drive traits,Use sparingly to avoid exception-heavy movement rules.
RI-014,T4_STARSHIPS,"Weapon bays and missile bays, around p. 72",weapons and magazines,capacity and readiness,"Weapon installation, fire direction, and ready/reload capacity are related but separable.","Retain Weapon Bays, one Ready Package, automatic reload, and broad shared magazine families.",low,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",already consistent,D-161 to D-164,No source table or launcher count is copied.
RI-015,T4_STARSHIPS,Ship design sequence,compatibility,hard blockers,Some deficiencies are physical rather than numerical: a system may simply not fit or lack an essential interface.,"Distinguish TL shortfalls that an engineer can bridge from non-emulatable blockers such as bay size, containment, mount geometry, or absent power form.",low,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",adopted framework,D-176 to D-178,This supports KISS by keeping the exception list explicit and small.
RI-016,T4_STARSHIPS,Technology and component descriptions,all components,efficiency progression,"Later technology may be smaller, safer, more efficient, or easier to integrate rather than only stronger.","Use performance, efficiency, capacity burden, reliability, and capability milestones as separate TL levers.",low,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",adopted framework,future numeric schema,Avoid a universal +10% per TL progression.
RI-017,GURPS_SPACE,Technology and campaign chapters,tone,setting assumptions,A science-fiction game benefits from declaring where it follows engineering intuition and where it permits setting miracles.,"Treat Star Cluster as fantastical space opera with understandable causal rules, not a hard-science simulator.",low,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",adopted principle,design pillar; D-180,Names should sound coherent without requiring real-world feasibility at high TL.
RI-018,GURPS_SPACE,Spacecraft and travel chapters,propulsion,capability separation,Local acceleration and FTL travel solve different gameplay problems and can progress differently.,Keep FTL speed/range/route stats separate from STL movement/pursuit/fuel stats even though both use Propulsion research.,low,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",adopted framework,D-174; ftl_drive; stl_drive,No FTL paradigm or formula is copied.
RI-019,GURPS_SPACE,Spacecraft systems,sensors and EW,information tradeoff,"Detection depends on sensors, target emissions, distance, and countermeasures rather than a single omniscient rating.","Continue observer-specific tracks, active/passive modes, signatures, ECM/ECCM, and Computing-assisted discrimination.",low,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",already consistent,D-095 onward; sensor_processing,The existing Star Cluster track model remains authoritative.
RI-020,GURPS_SPACE,Technology discussions,all components,maturity,"Higher technology may improve reliability, usability, and size before adding a new peak capability.",Use intermediate TLs to mature the previous breakthrough and milestone TLs for new capabilities.,low,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",adopted framework,TL level themes,This helps fill TL 2/4/6/8 meaningfully after anchor levels are set.
RI-021,GURPS_SPACE,Campaign-design chapters,campaign,choice architecture,"Technology is most interesting when it changes available choices and risks, not only combat strength.","Evaluate each TL item by the decisions it creates in exploration, repair, travel, information, or combat.",low,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",adopted review rule,mechanical_promise fields,A name should not promise a mechanic that the item does not have.
RI-022,GURPS_SPACE,Spacecraft design,complexity,scope warning,Detailed spacecraft design can rapidly become its own simulation game.,"Keep most components to at most two related support categories and avoid per-component mass, volume, heat, crew, and maintenance unless a field creates a recurring decision.",low,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",adopted guardrail,D-176,This is a deliberate departure from detailed design systems.
RI-023,TRIPLANETARY,Movement and fuel sections,stl propulsion,visible resource,A compact movement resource can make route planning and pursuit decisions legible.,Keep STL movement allowance and fuel burden visible; do not add continuous-vector bookkeeping to the current hex system.,low,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",candidate consistency check,stl_drive numeric fields,Star Cluster retains its own turn and hex movement rules.
RI-024,TRIPLANETARY,Combat and damage sections,damage,compact state,A small number of damage states can preserve tension without dozens of subsystem calculations.,Retain Operational -> Degraded -> Damaged/Disabled -> Destroyed component condition steps and explicit damage-control choices.,low,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",already consistent,D-137; D-156 to D-160; D-177,Terminology must remain consistent during implementation: current Concept uses Disabled for components in some sections.
RI-025,TRIPLANETARY,Optional rules,complexity,layered complexity,Optional detail can be added after a playable core proves that the extra rule creates a decision.,Defer adaptation risk rolls until the compatibility data and ordinary component condition model are stable.,low,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",adopted sequencing,Checkpoint 23 TODO,Schema now reserves the concept; runtime implementation comes later.
RI-026,TRIPLANETARY,Overall rules presentation,UX,readability,A compact rules surface can support deep play when consequences are visible.,Present Integrated/Adapted/Incompatible and accumulated strain directly rather than hiding prerequisite arithmetic.,low,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",adopted UI direction,D-147; D-177,"The ship designer should explain the consequence, not ask the player to calculate it."
RI-027,STARFIRE_ULTRA_COMPLETE,Hull and construction material,hull and damage,system exposure,Detailed system placement can create strong damage narratives but also substantial bookkeeping.,Use bounded hidden exposure groups and individualized major systems rather than a player-managed system string.,medium,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",already consistent,D-137; D-164; D-165,The source motivates the design problem; Star Cluster uses a different implementation.
RI-028,STARFIRE_ULTRA_COMPLETE,"Weapons, missiles, and defenses",combat,soft counters,Distinct weapon and defense families can create tactical identity through interaction rather than pure damage escalation.,"Use soft projectile/armor, energy/shield, and missile/interception relationships; preserve mixed loadout viability.",low,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",already consistent,D-016; weapon families,Exact combat matrices and statistics are not reused.
RI-029,STARFIRE_ULTRA_COMPLETE,"Sensors, communications, and EW",sensors and computing,information systems,"Detection, fire control, communications, and jamming can be separate but interacting systems.",Keep broad Sensors/EW and Computing/Fire Control categories with explicit component prerequisites and copied-report provenance.,medium,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",adopted with compression,D-146; sensor_processing; computing_power_bus,Avoid creating separate research trees for every signal-processing function.
RI-030,STARFIRE_ULTRA_COMPLETE,Missile and point-defense material,missile weapons,subsystem decomposition,Missile performance comes from several cooperating subsystems and counters.,"After the game-wide TL foundation, decompose Missile Flight propulsion/endurance, datalink, navigation sensor, Guidance Computer, seeker, warhead, and survivability as study variables.",medium,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",planned next pass,Checkpoint 24,Do not copy source missile types or resolution tables.
RI-031,STARFIRE_ULTRA_COMPLETE,Damage control and readiness material,repair and crew,preparedness,Damage control capability and crew quality can change how long a ship remains effective.,"Use finite Damage Control Capacity, repair supplies, bounded officer effects, and adaptation strain mitigation.",low,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",already consistent,D-156 to D-160; D-178,No readiness formula is imported.
RI-032,STARFIRE_ULTRA_COMPLETE,Technology and construction material,research,tree complexity,A comprehensive technology model can become highly branching and terminology-heavy.,Use the archive as a completeness checklist while deliberately retaining ten broad player-visible categories.,low,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",adopted guardrail,D-146; D-176,This source is primarily a warning against a sprawling tree.
RI-033,STARFIRE_ULTRA_EARLY,EW and missile material,references,corpus overlap,Multiple editions or packages may repeat the same underlying ideas.,Record overlap in the reference ledger and avoid treating duplicate packages as independent design evidence.,low,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",adopted process,reference library notes,Both archives remain preserved for continuity.
RI-034,T4_QSDS,Quick design sequence,UX and data,layered interface,A quick-design surface can expose a few ratings while detailed rules remain available underneath.,"Provide standard named TL components and reference-ship defaults, with explicit data available for advanced review.",low,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",adopted framework,TL Matrix; Components sheets,The game should not require spreadsheet construction to fit a routine component.
RI-035,T4_SSDS,Detailed design sequence,simulation,causal checklist,A detailed design sequence highlights causal relationships that a simpler game may still need to represent.,"Use the reference as a checklist for power, capacity, fuel, controls, crew, ammunition, and repair, then retain only fields that affect play.",medium,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",adopted process,Reference Insights; future numeric schema,Omission is acceptable when a field adds bookkeeping without decisions.
RI-036,T4_HIGH_GUARD_CONVERSION,Conversion guidance,compatibility,explicit conversion,Cross-system conversion is safer when assumptions and losses are recorded rather than silently equated.,Represent adapters and compatibility overrides as data with explicit penalties and source capability tags.,low,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",adopted framework,compatibility_override_status; D-176,"This is analogous inspiration, not a conversion of Traveller equipment."
RI-037,T4_BIG_HULLS,Large hull tables,hull,scale warning,Large-hull systems can make size dominate every other choice.,"Keep Hull TL within a cruiser lineage, with bounded bays, support capacity, stores, compartmentation, and at most a second shuttle.",low,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",already consistent,D-143 to D-145,Do not turn TL 9 into a battleship-size escalation.
RI-038,WARLORDS_I,Support and combat sections,crew,bounded support,Support effects are easier to understand when they are capped and tied to a clear source.,Keep officer and cooperative bonuses bounded; one Legendary Chief Engineer may bridge a defined shortfall rather than raising every ship statistic.,low,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",adopted concept,D-178,No fantasy ability or numerical modifier is imported.
RI-039,WARLORDS_II,Leader and campaign sections,crew and campaign,characterful exception,A named leader can create memorable exceptions and stories when the exception remains limited.,"Allow rare officers to enable one dramatic jury-rig or protect one adapted installation, supporting emergent campaign stories.",medium,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",candidate,Chief Engineer ability set,Must avoid mandatory best-in-slot officer builds.
RI-040,WARLORDS_III,Leader and progression sections,crew,progression guardrail,Leader progression can overwhelm core unit identity if bonuses stack without bounds.,"Officer abilities should modify checks or unlock options, not replace Reactor, Hull, Computing, or other technology.",low,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",adopted guardrail,D-178,Ship technology remains primary.
RI-041,SFB_MASTER_2012,Energy allocation and reserve-power sections,Tactical Power,response window,Keeping some power flexible until later in the turn creates meaningful contingency decisions.,Treat “reserved TP” only as ordinary uncommitted Tactical Power that remains available for a later legal Star Cluster response window; do not add a second reserve currency.,low,"Pattern-level influence only; create original Star Cluster terminology, data, rules, and implementation. Do not copy proprietary text, tables, exact timing grids, weapon rules, or distinctive core mechanics.",adopted terminology/process,Tactical Power; CP72,"Borrow the decision structure, not SFB battery/reserve-power accounting."
RI-042,SFB_MASTER_2012,Sequence of Play and simultaneous-announcement procedures,initiative and combat,simultaneous commitment,Simultaneous declarations avoid the information advantage created when one player must announce a commitment first.,Use simultaneous commitments where last-word advantage would be artificial: direct-fire volleys and the ECM declaration step. ECCM then receives one bounded response layer.,low,"Pattern-level influence only; create original Star Cluster terminology, data, rules, and implementation. Do not copy proprietary text, tables, exact timing grids, weapon rules, or distinctive core mechanics.",adopted sequencing,EW sub-phase; simultaneous direct fire,The computer can enforce simultaneity invisibly; no written orders or command cards are needed.
RI-043,SFB_MASTER_2012,Proportional movement and impulse combat timing,movement and initiative,intermediate engagement opportunity,Allowing fire between movement increments means a ship crossing tactically important geometry cannot always wait until the end of movement before being engaged.,"Keep Movement -> EW -> Combat now, but retain lightweight event-driven intermediate combat windows as a future option if coarse initiative creates “bounce/overrun” artifacts. Do not import a 32-impulse turn.",medium,"Pattern-level influence only; create original Star Cluster terminology, data, rules, and implementation. Do not copy proprietary text, tables, exact timing grids, weapon rules, or distinctive core mechanics.",deferred concept,future movement-phase engagement windows,Potential trigger points include traversed hexes or meaningful range/geometry boundaries; require simultaneous fire commitment if tested.
RI-044,SFB_MASTER_2012,Tactical intelligence rules,sensors and UX,progressive information,"Observation can reveal progressively richer information, while distinctive enemy actions can reveal capabilities earlier.","Consider future observer-safe identification layers where the player sees qualitative EW/contact results before exact enemy subsystem ratings, and learns more through scans and observed use.",medium,"Pattern-level influence only; create original Star Cluster terminology, data, rules, and implementation. Do not copy proprietary text, tables, exact timing grids, weapon rules, or distinctive core mechanics.",candidate future UX,observer-safe information; sensors/EW,Do not copy SFB intelligence levels or tables; retain Star Cluster track-quality/provenance architecture.
RI-045,SFB_MASTER_2012,Passive fire-control and electronic-warfare sections,weapons and sensors,degraded targeting,Some weapon use can remain possible under lower-quality/passive targeting while other weapon types require stronger fire-control solutions.,Supports the existing future weapon-specific Approximate-track degraded-fire trait; missiles remain governed by their separate guidance/seeker model.,low,"Pattern-level influence only; create original Star Cluster terminology, data, rules, and implementation. Do not copy proprietary text, tables, exact timing grids, weapon rules, or distinctive core mechanics.",concept support only,degraded fire; missile guidance,Do not import SFB passive-fire-control range rules or weapon exceptions.
