section,parameter_id,display_name,value,unit,applies_to,status,rationale,test_signal
Sensors,passive_approx_range,Passive Approximate range,5,hexes,TL1 Sensor Array,provisional_exact,Provides early warning outside Firm range.,Environment and signatures remain separate inputs.
Sensors,active_range_level_1_firm,Active Sensor Firm range at 1 TP,5,hexes,Optional TL1 Active Sensor mode,provisional_exact,"Power increases range, not intrinsic accuracy.",Triggers one prospective Sensor/EW Refresh.
Sensors,active_range_level_1_approx,Active Sensor Approximate range at 1 TP,7,hexes,Optional TL1 Active Sensor mode,provisional_exact,Extends the same TL1 sensor quality farther.,No rating increase.
Sensors,active_range_level_2_firm,Active Sensor Firm range at 2 TP,6,hexes,Optional TL1 Active Sensor mode,provisional_exact,Second defined range setting.,Power can be added only at legal adjustment opportunities.
Sensors,active_range_level_2_approx,Active Sensor Approximate range at 2 TP,9,hexes,Optional TL1 Active Sensor mode,provisional_exact,Meaningful long envelope at substantial power cost.,No point-by-point per-hex pricing.
Sensors,active_sensor_overload_range,Active Sensor overload range bonus,2,hexes to both envelopes,TL1 Active Sensor suite,provisional_exact,Overload changes reach rather than accuracy.,"Costs +1 TP, adds 1 Strain, once per turn."
Sensors,active_sensor_overload_power_cost,Active Sensor overload additional power cost,1,additional TP,TL1 Active Sensor suite,provisional_exact,One bounded listed overload step above the rated 2-TP setting.,Overload I therefore operates at 3 TP total; spare TP cannot be stacked for further unlisted range.
Sensors,active_sensor_overload_strain_cost,Active Sensor overload Strain cost,1,Strain,TL1 Active Sensor suite,provisional_exact,Active-sensor Overload I adds one persistent Strain.,Safe-only scripted doctrine stops before a third activation would exceed the TL1 Strain Limit.
Sensors,active_sensor_strain_limit,Active Sensor Strain Limit,2,Strain,TL1 Active Sensor suite,provisional_exact,Matches the standard TL1 overload tolerance seed.,Two safe overloads are available before Forced Overload resolution becomes necessary.
Sensors,ecm_max,ECM normal maximum,1,ECM,Optional TL1 ECM suite,provisional_exact,Basic scalable EW point.,1 TP per rating; may run with ECCM.
Sensors,eccm_max,ECCM normal maximum,1,ECCM,Optional TL1 ECCM suite,provisional_exact,Basic scalable counter-jamming point.,1 TP per rating; may run with ECM.
Sensors,ew_overload_bonus,ECM/ECCM overload bonus,1,rating,TL1 EW suite,provisional_exact,Lets an energy system exceed its rated maximum.,Costs +1 TP and +1 Strain for the remainder of the turn.
Sensors,ew_overload_power_cost,ECM/ECCM overload additional power cost,1,additional TP,TL1 EW suite,provisional_exact,One listed overload step above the normal rating-1/1-TP setting.,Not exercised in Checkpoint 66 because the balanced-generalist fixture does not install a discrete EW suite.
Sensors,ew_overload_strain_cost,ECM/ECCM overload Strain cost,1,Strain,TL1 EW suite,provisional_exact,EW overload uses the common TL1 one-Strain step.,Future explicit EW-installation studies should respect the same safe/forced boundary.
Sensors,ew_strain_limit,ECM/ECCM Strain Limit,2,Strain,TL1 EW suite,provisional_exact,Two safe overloads before Forced Overload is required.,Keep this latent until explicit ECM/ECCM hardware is present.
Sensors,targeting_accuracy_bonus,Targeting Computer accuracy bonus,10,percentage points,TL1 Targeting Computer,provisional_exact,External assistance is valuable without being required for weapon function.,Degraded computer provides +5; Disabled/Destroyed provides +0.
Weapon,kinetic_accuracy,Kinetic Cannon Accuracy,20,percentage points,TL1 Kinetic Cannon,provisional_exact,Produces 80% point-blank with an Operational TL1 Targeting Computer.,"Common -5 per direct-fire hex; Firm track is prerequisite, not a bonus."
Weapon,kinetic_damage,Kinetic Cannon DAM,8,DAM,TL1 Kinetic Cannon,provisional_exact,"Restores kinetic identity as the strongest immediate direct-fire packet while energy retains accuracy, range, and APEN advantages. Canonical CP122 x2 point-domain migration; no balance change intended.","Checkpoint 39 compares DAM3/APEN0, DAM4/APEN0, DAM5/APEN0, and DAM4/APEN1 arms."
Weapon,kinetic_spen,Kinetic Cannon SPEN,2,SPEN,TL1 Kinetic Cannon,provisional_exact,Provides steady kinetic pressure through basic shields without bypassing them entirely. Canonical CP122 x2 point-domain migration; no balance change intended.,Compare SPEN0 and SPEN2 controls for shield relevance.
Weapon,kinetic_apen,Kinetic Cannon APEN,0,APEN,TL1 Kinetic Cannon,provisional_exact,Basic TL1 kinetic ammunition has no armor-penetration advantage. Canonical CP122 x2 point-domain migration; no balance change intended.,Cross AP1/AP2 with APEN0/1/2 during calibration.
Weapon,kinetic_range,Kinetic Cannon Maximum Range,4,hexes,TL1 Kinetic Cannon,provisional_exact,Shorter than the energy weapon.,Uses the existing -5 percentage points per hex.
Weapon,kinetic_power,Kinetic Cannon firing power,1,Spent TP per attack,TL1 Kinetic Cannon,provisional_exact,Powers the autoloader firing cycle recoil control stabilization and weapon thermal management.,Still cheaper than standard Energy fire; Held Kinetic interception earmarks the same 1 TP and spends it only if triggered.
Weapon,kinetic_ammo,Kinetic Magazine,100,packages,TL1 Standard Test Cruiser,provisional_exact,Total carried capacity includes one Ready Package and 99 reserve packages; supports several serious engagements between resupply opportunities.,"Track ready/reserve state, mean packages consumed per duel, and campaign endurance."
Weapon,ammunition_ready_package,Ready Package per ammunition-fed weapon,1,package,Ammunition-fed main weapons and PDS,accepted_rule,Each compatible ammunition-fed weapon begins with one package loaded and automatically reloads from its broad shared magazine after firing.,The Ready Package is part of total carried capacity; final consumption leaves ready and reserve at zero.
Weapon,energy_low_power,Energy Cannon low-output cost,1,TP,TL1 Energy Cannon,provisional_exact,Safe underpowered option and interception choice.,"DAM2, SPEN0, APEN0, Accuracy +10, range5."
Weapon,energy_low_damage,Energy Cannon low-output DAM,4,DAM,TL1 Energy Cannon,provisional_exact,Preserves action when power is constrained. Canonical CP122 x2 point-domain migration; no balance change intended.,Should not become the dominant efficient setting.
Weapon,energy_standard_power,Energy Cannon standard cost,2,TP,TL1 Energy Cannon,provisional_exact,Material reactor demand with unlimited ammunition.,Core doctrine uses this mode.
Weapon,energy_standard_damage,Energy Cannon standard DAM,6,DAM,TL1 Energy Cannon,provisional_exact,Lower raw damage than kinetic but better accuracy and penetration. Canonical CP122 x2 point-domain migration; no balance change intended.,Tune cross-family viability rather than parity.
Weapon,energy_accuracy,Energy Cannon Accuracy,25,percentage points,TL1 Energy Cannon,provisional_exact,Produces 85% point-blank with an Operational TL1 Targeting Computer.,Energy retains +5 accuracy and one extra hex of maximum range; common range penalty initially.
Weapon,energy_spen,Energy Cannon standard SPEN,2,SPEN,TL1 Energy Cannon,provisional_exact,Applies pressure through active shields. Canonical CP122 x2 point-domain migration; no balance change intended.,"Shield Armor can reduce remaining shield-facing damage, not bypass."
Weapon,energy_apen,Energy Cannon standard APEN,2,APEN,TL1 Energy Cannon,provisional_exact,Maintains value against TL1 armor. Canonical CP122 x2 point-domain migration; no balance change intended.,No extra damage beyond DAM.
Weapon,energy_range,Energy Cannon Maximum Range,5,hexes,TL1 Energy Cannon,provisional_exact,Longer reach than kinetic.,Uses the common range penalty.
Weapon,energy_overload_power,Energy Cannon overload cost,3,TP,TL1 Energy Cannon,provisional_exact,One point above standard output.,DAM4 and +1 Strain; once per weapon per turn.
Weapon,energy_overload_damage,Energy Cannon overload DAM,8,DAM,TL1 Energy Cannon,provisional_exact,Crosses the kinetic damage threshold at reliability cost. Canonical CP122 x2 point-domain migration; no balance change intended.,Forced roll only beyond Strain Limit.
Weapon,energy_strain_limit,Energy Cannon Strain Limit,2,Strain,TL1 Energy Cannon,provisional_exact,Allows two safe overload shots across turns.,Normal firing and normal charge retention add no Strain.
Weapon,missile_ammo,Missile Magazine,25,Missile Flights,TL1 Missile Launcher,provisional_exact,"Total carried capacity includes one Ready Missile Flight and 24 reserve Flights, aligning the finite magazine with the ready-package convention.","Track ready/reserve state, salvo size, interception losses, and resupply cadence later."
Weapon,missile_launch_power,Missile launch power,0,TP,TL1 Missile Launcher,provisional_exact,Missile carries its own energy and propulsion.,Launcher control remains core-powered.
Weapon,missile_warhead_damage,TL1 Missile Warhead DAM,10,DAM,TL1 Missile Flight,provisional_exact,Highest single packet among core families. Canonical CP122 x2 point-domain migration; no balance change intended.,"Balanced by limited ammunition, travel time, and interception."
Weapon,missile_warhead_spen,TL1 Missile Warhead SPEN,2,SPEN,TL1 Missile Flight,provisional_exact,Provides some shield bypass. Canonical CP122 x2 point-domain migration; no balance change intended.,Tune with PDS and Shield Armor.
Weapon,missile_warhead_apen,TL1 Missile Warhead APEN,4,APEN,TL1 Missile Flight,provisional_exact,Missile payload is effective against armor. Canonical CP122 x2 point-domain migration; no balance change intended.,Must not make kinetic and energy options obsolete.
Weapon,missile_speed,TL1 Missile Flight speed,2,hexes per missile action,TL1 bundled Missile Flight,provisional_exact,Missile Move equals Missile Drive TL plus 1; a TL1 missile therefore has a one-hex closing advantage over a normal TL1 ship.,"Tail-chase controls compare production 1/2, Godot 3/2, legacy 4/1, and overload-equivalent 2/2 relationships."
Weapon,missile_range,TL1 Missile Flight maximum range,6,hexes traveled,TL1 bundled Missile Flight,inherited_provisional_exact,Matches the existing Checkpoint 20 TL1 representative profile.,Track every traveled hex and replan each turn.
Weapon,missile_guidance_hit,TL1 Guidance base hit chance,55,percent,TL1 bundled Missile Flight,inherited_provisional_exact,Matches the existing representative missile profile.,Subject to terminal modifiers and bounds.
PDS,kinetic_pds_power,Kinetic PDS readiness,1,Powered TP,Optional TL1 Kinetic PDS,provisional_exact,Low-power self-contained defense.,No separate per-shot TP; consumes PDS ammunition.
PDS,kinetic_pds_reactions,Kinetic PDS Reaction Capacity,1,attempt per turn,Optional TL1 Kinetic PDS,provisional_exact,Matches the existing low-TL baseline.,Still limited by the two terminal windows.
PDS,kinetic_pds_chance,Kinetic PDS equal-TL chance,35,percent,Optional TL1 Kinetic PDS,inherited_provisional_exact,Matches the existing Checkpoint 20 equal-TL value.,Tune after missile payload is integrated.
PDS,kinetic_pds_ammo,Kinetic PDS magazine,50,packages,Optional TL1 Kinetic PDS,provisional_exact,Total carried capacity includes one Ready Package and 49 reserve packages; kinetic rounds remain more compact than AMMs.,One package per attempt; track ready/reserve state and single-engagement consumption.
PDS,amm_pds_power,AMM readiness,1,Powered TP,Optional TL1 AMM system,provisional_exact,Interceptor missiles are self-contained once launched.,Consumes one AMM per attempt.
PDS,amm_pds_chance,AMM equal-TL chance,50,percent,Optional TL1 AMM system,provisional_exact,Higher reliability with scarcer ammunition.,Must not invalidate ordinary missiles.
PDS,amm_pds_ammo,AMM magazine,25,interceptors,Optional TL1 AMM system,provisional_exact,"Total carried capacity includes one Ready AMM and 24 reserve interceptors, matching the main missile magazine convention.",One interceptor per attempt; track ready/reserve state and single-engagement consumption.
PDS,energy_pds_power,Energy PDS readiness,2,Powered TP,Optional TL1 Energy PDS,provisional_exact,Higher sustained power in exchange for no conventional ammo.,No separate per-shot TP in the baseline.
PDS,energy_pds_chance,Energy PDS equal-TL chance,40,percent,Optional TL1 Energy PDS,provisional_exact,Between kinetic and AMM accuracy.,Tune against its higher power and unlimited shots.
Tractor,tractor_range,Tractor Maximum Range,3,hexes,Optional TL1 Tractor Beam,provisional_exact,Beam-weapon reach shorter than primary weapons.,Requires normal beam acquisition.
Tractor,tractor_max_power,Tractor normal maximum,3,Tractor Power,Optional TL1 Tractor Beam,recalibration_required,Inherited Checkpoint 24 test fixture; ship Move = Drive TL makes Tractor Power 3 too strong to treat as production-balanced without a dedicated pass.,"Retain historical tractor controls, but recalibrate normal, overload, and combined-tractor thresholds against TL1 Move 1 before promotion."
Tractor,tractor_power_cost,Tractor power cost,1,Powered TP per Tractor Power,Optional TL1 Tractor Beam,provisional_exact,Direct readable relationship.,"Target remaining Move = max(0, effective STL - Tractor Power)."
Tractor,tractor_overload_bonus,Tractor overload bonus,1,Tractor Power,Optional TL1 Tractor Beam,recalibration_required,Inherited +1 overload fixture; its relationship to TL1 Move 1 and Tractor Power 3 must be re-established under the technology-scaled movement law.,Do not promote the current hold/pull envelope until the tractor study is rerun against ship Move = Drive TL.
Repair,damage_control_capacity,Damage Control Capacity,1,attempt per turn,TL1 Standard Test Cruiser,provisional_exact,One deliberate Damage Control task per turn keeps repair choices readable and matches the implemented TL1 combat profile.,No second attempt may occur before the next Turn Refresh.
Repair,repair_supplies,Starting Repair Kits,3,kits,TL1 Standard Test Cruiser,provisional_exact,The player-facing TL1 loadout retains three scarce combat repair attempts.,Checkpoint 37 may use five kits only in explicitly tagged calibration fixtures.
Repair,damage_control_calibration_kits,Checkpoint 37 Calibration Repair Kits,5,kits,Damage Control calibration fixtures only,calibration_only,Two additional kits let the study reach subsystem repair decisions after early Hull damage without changing the player-facing TL1 loadout.,No ordinary TL1 ship profile may inherit the five-kit quantity.
Repair,damage_control_calibration_hull_threshold,Restrained Hull-Repair Threshold,12,remaining Hull,Checkpoint 37 HullHalf doctrines,calibration_control,Historical half-Hull calibration threshold migrated from 6/12 to 12/24 canonical Hull points. This does not change the production Repair Kit yield.,Threshold doctrines record zero Hull attempts above 6 Hull.
Repair,repair_degraded_chance,Degraded to Operational repair,70,percent,Standard component repair,existing_provisional,Retains the current concept baseline.,Playtest with Crew modifiers.
Repair,repair_disabled_chance,Disabled to Degraded repair,50,percent,Standard component repair,existing_provisional,Retains the current concept baseline.,Results become active next turn.
Repair,repair_hull_chance,Repair 1 Hull,40,percent,Hull repair task,existing_provisional,CP122 intentionally keeps a successful Repair Kit at 1 canonical Hull point. Exact migration parity uses an artificial 2-Hull/kit test mode only; future Hull TL may improve repair yield. Production rule is intentionally not x2-equivalent; chance remains unchanged.,Cannot exceed field-repair ceiling or pristine maximum.
InternalDamage,ordinary_internal_critical_density,Ordinary TL1 Internal Critical Density,33.333333,percent,Ordinary TL1 Hull internal track,provisional_exact,One X per three-position stratum creates regular subsystem variation while retaining mostly Degraded rather than Disabled or Destroyed outcomes.,Compare 25 percent and 33 1/3 percent pacing before final lock.
Repair,strain_removal_chance,Remove 1 Strain,60,percent,Damage Control Strain task,provisional_exact,Makes Strain recoverable at real opportunity cost.,Critical success removes 2; ordinary failure removes none.
Reset,turn_refresh,Turn Refresh reset count,1,per tactical turn,All ships,accepted_rule,Only universal tactical reset besides FTL transition.,Clears power accounting and one-turn effects; does not heal or replenish.
Reset,ftl_transition,FTL tactical-state reset,1,per transition,All ships,accepted_rule,Clears encounter-scoped Tactical Power state while normal transit refills an installed Capacitor Bank.,"Refills the Capacitor Bank only; does not restore shields, remove Strain, repair, or replenish ammunition, batteries, or fuel."
Combat,direct_fire_base_chance,Direct-Fire Raw Baseline,50,percentage points,TL1 direct-fire procedure,provisional_exact,"Keeps weapon, computer, range, and EvM modifiers visible.","Firm track is a prerequisite, not an accuracy bonus."
Combat,direct_fire_range_penalty,Direct-Fire Range Penalty,5,percentage points per hex,TL1 direct-fire procedure,provisional_exact,Common initial range slope for ordinary TL1 direct-fire weapons.,Weapon-specific slopes may later be explicit traits.
Combat,direct_fire_minimum_chance,Direct-Fire Minimum Chance,5,percent,TL1 direct-fire procedure,provisional_exact,Preserves a bounded chance under extreme penalties.,Natural 01 remains Critical Miss.
Combat,direct_fire_maximum_chance,Direct-Fire Maximum Chance,95,percent,TL1 direct-fire procedure,provisional_exact,Preserves a bounded chance under extreme bonuses.,Natural 100 remains Critical Hit.
