component_id,name,owner,placement_tl,philosophies,reference_basis,reference_coverage,sweep_disposition,cp138_combat_execution
combat-battery,Combat Battery,Power,1,power-flexibility,RM-THEME-012|SD-Q10-004|SD-Q10-009,external_reference_supported,defer_power_supply_storage_until_post_aux_reactor_phase,false
kinetic-magazine,Kinetic Magazine Expansion,Projectile Weapons,1,munition-endurance,RM-THEME-011|SD-SW-020|SD-SW-030,external_reference_supported,architecture_coverage_no_fake_combat_effect,false
kinetic-pds,Kinetic Point-Defense Battery,Projectile Weapons,1,combat-generalist|missile-defense-escort|munition-endurance,RM-THEME-006|SD-SW-010|SD-SW-011|SD-SW-038|SD-SW-039,external_reference_supported,execute_in_cp138_primary_combat_sweep,true
expedition-endurance,Expedition Endurance Module,Propulsion,1,expedition-survey,RM-THEME-014|SD-Q06-003|SD-Q06-004|SD-Q06-005,external_reference_supported,architecture_coverage_no_fake_combat_effect,false
fuel-processor,Fuel Processor,Propulsion,1,industrial-logistics|expedition-survey,RM-THEME-014|SD-Q06-004|SD-Q10-010,external_reference_supported,architecture_coverage_no_fake_combat_effect,false
shield-battery,Shield Battery,Shields,1,shield-specialist,RM-THEME-006|RM-THEME-007|internal:post-CP135-shield-model,mixed_internal_external,shield_redesign_rederive_or_specialist_defer,false
fabricator,General Fabrication Module,Hull,2,damage-resilience|industrial-logistics|expedition-survey,RM-THEME-014|SD-DC-002|SD-DC-007|SD-Q06-003,external_reference_supported,architecture_coverage_no_fake_combat_effect,false
power-stabilizer,Power Stabilizer / Conditioner,Power,2,power-flexibility,RM-THEME-012|SD-Q10-003|SD-Q10-009,external_reference_supported,defer_power_supply_storage_until_post_aux_reactor_phase,false
supercapacitor,Supercapacitor Pulse Bank,Power,2,power-flexibility,RM-THEME-012|SD-Q10-004|SD-Q10-009,external_reference_supported,defer_power_supply_storage_until_post_aux_reactor_phase,false
probe-survey-drone,Probe / Survey Drone Package,Sensors / EW,2,information-control|expedition-survey,RM-THEME-013|RM-THEME-014|SD-Q06-002|SD-SW-026,external_reference_supported,architecture_coverage_no_fake_combat_effect,false
shield-booster,Shield Booster,Shields,2,shield-specialist,RM-THEME-006|RM-THEME-007|internal:post-CP135-shield-model,mixed_internal_external,shield_redesign_rederive_or_specialist_defer,false
shield-hardener,Shield Hardener,Shields,3,combat-generalist|shield-specialist,RM-THEME-006|SD-SW-045|internal:current-executable-shield-hardener,mixed_internal_external,execute_in_cp138_primary_combat_sweep,true
radiation-hardening,Particle / Radiation Hardening Package,Armor,4,damage-resilience|missile-defense-escort,RM-THEME-006|SD-SW-022|SD-Q10-002,external_reference_supported,specialist_architecture_defer_until_explicit_threat_or_mechanic,false
repair-drone-bay,Damage-Control Drone Bay,Hull,4,damage-resilience,RM-THEME-007|SD-DC-001|SD-DC-002|SD-DC-007,external_reference_supported,specialist_architecture_defer_until_explicit_threat_or_mechanic,false
smagnetic-store,Superconducting Magnetic Energy Store,Power,4,power-flexibility,RM-THEME-012|SD-Q10-004|SD-Q10-009,external_reference_supported,defer_power_supply_storage_until_post_aux_reactor_phase,false
tractor-tow,Tractor / Tow Projector,Propulsion,4,industrial-logistics|assault-relief,RM-THEME-014|SD-Q06-008,external_reference_supported,architecture_coverage_no_fake_combat_effect,false
powered-reactive-armor,Powered Reactive Armor System,Armor,5,damage-resilience|combat-generalist,RM-THEME-006|RM-THEME-007|SD-DC-008,external_reference_supported,specialist_architecture_defer_until_explicit_threat_or_mechanic,false
molecular-repair-fabricator,Molecular Repair Fabricator,Hull,5,damage-resilience|industrial-logistics|expedition-survey,RM-THEME-014|SD-DC-007|SD-DC-009|SD-Q06-003,external_reference_supported,architecture_coverage_no_fake_combat_effect,false
thermal-suppression,Thermal Suppression Module,Power,5,information-control|power-flexibility,RM-THEME-012|RM-THEME-013|SD-Q12-004|SD-Q12-005|SD-Q12-007,external_reference_supported,defer_power_supply_storage_until_post_aux_reactor_phase,false
particle-deflection-screen,Particle / Charged-Beam Deflection Screen,Shields,5,shield-specialist|missile-defense-escort,RM-THEME-006|SD-SW-045|internal:post-CP135-shield-model,mixed_internal_external,shield_redesign_rederive_or_specialist_defer,false
field-stabilizer,Field Stabilizer / Anti-Penetration Tuner,Shields,7,shield-specialist,RM-THEME-006|internal:post-CP135-shield-model,mixed_internal_external,shield_redesign_rederive_or_specialist_defer,false
programmable-repair-patch,Programmable Matter Repair Patch System,Hull,8,damage-resilience,RM-THEME-015|SD-DC-009|SD-DC-010,external_reference_supported,architecture_coverage_no_fake_combat_effect,false
hangar-mission-bay,Hangar / Mission Bay,Hull,,expedition-survey|assault-relief|industrial-logistics,RM-THEME-014|SD-Q06-002|SD-Q06-008,external_reference_supported,architecture_coverage_no_fake_combat_effect,false
