family_id,subfamily_id,display_name,installation_class,entry_tl,tl1_milestone,tl2_milestone,tl3_milestone,tl4_milestone,tl5_milestone,tl6_milestone,tl7_milestone,tl8_milestone,tl9_milestone
maneuver_support,aux_evasive_maneuver_system,Evasive Maneuver System,auxiliary_capacity,1,Entry: conventional EvM support,-,Compensation support,Fuel/power efficiency,-,Reliability,-,Compensation efficiency,Pinnacle maneuver support
sensor_ew_support,aux_active_sensor_array,Active Sensor Array,auxiliary_capacity,1,Entry: active range/reacquisition,Discrimination,Power efficiency,Range refinement,Reacquisition,ECCM support,Precision,Efficiency,Pinnacle active sensing
sensor_ew_support,aux_ecm_suite,Electronic Countermeasures Suite,auxiliary_capacity,1,Entry: modest conventional ECM,Strength refinement,Power efficiency,Screen efficiency,-,Strength/reliability,Network integration,Efficiency,Pinnacle ECM
sensor_ew_support,aux_eccm_suite,Electronic Counter-Countermeasures Suite,auxiliary_capacity,1,Entry: modest conventional ECCM,Strength refinement,Power efficiency,Discrimination,-,Strength/reliability,Network integration,Efficiency,Pinnacle ECCM
sensor_ew_support,aux_communications_relay,Tactical Communications Relay,auxiliary_capacity,2,Not available,Entry: tactical relay,Reliability,Reach,Relay efficiency,Latency/reliability,Network resilience,Reach,Pinnacle relay
maneuver_support,aux_tractor_projector,Tractor Projector,auxiliary_capacity,4,Not available,Not available,Not available,Entry: bounded tractor control,Power efficiency,Strength review,-,Control precision,Pinnacle tractor control
repair_support,standard_human_damage_control,Human Damage-Control Crews,dedicated_core_integration,1,Entry: human crews,Tools/procedures,Access/materials,Retained alongside robotics,Retained,Retained,Retained,Retained,Retained
repair_support,aux_repair_drone_bay,Repair Drone Bay,auxiliary_capacity,4,Not available,Not available,Not available,Entry: robotic repair assistance,Robotics efficiency,Autonomous diagnostics/fabrication,Superseded or paired with self-healing,-,-
repair_support,aux_self_healing_repair,Self-Healing Repair System,auxiliary_capacity,7,Not available,Not available,Not available,Not available,Not available,Not available,Entry: bounded self-healing,Efficiency/reliability,Pinnacle self-healing
utility_support,aux_hangar_bay,Auxiliary Hangar Bay,auxiliary_capacity,3,Not available,Not available,Entry: additional craft capacity,-,Launch/recovery efficiency,-,Capacity/integration,-,Pinnacle hangar support
utility_support,aux_laboratory_module,Laboratory Module,auxiliary_capacity,1,Entry: specialist laboratory,-,Throughput/analysis,-,Efficiency,-,Advanced analysis,-,Pinnacle laboratory
utility_support,aux_mining_module,Mining Module,auxiliary_capacity,1,Entry: specialist mining,-,Throughput,-,Efficiency,-,Advanced extraction,-,Pinnacle mining
utility_support,aux_fabrication_module,Fabrication Module,auxiliary_capacity,3,Not available,Not available,Entry: bounded fabrication,Process control,-,Efficiency,-,Advanced conversion,Pinnacle fabrication
utility_support,aux_cargo_expansion,Cargo Expansion Module,auxiliary_capacity,1,Entry: cargo expansion,-,Capacity efficiency,-,Integration efficiency,-,Advanced storage,-,Pinnacle cargo support
utility_support,aux_kinetic_magazine_expansion,Kinetic Magazine Expansion,auxiliary_capacity,1,Entry: extra Kinetic reserve,-,Protection/capacity,-,Reload efficiency,-,Capacity efficiency,-,Pinnacle Kinetic stores
utility_support,aux_missile_magazine_expansion,Missile Magazine Expansion,auxiliary_capacity,1,Entry: extra Missile reserve,-,Protection/capacity,-,Reload efficiency,-,Capacity efficiency,-,Pinnacle Missile stores
