family_id,subfamily_id,display_name,installation_class,entry_tl,identity,strengths,weaknesses,tuning_knobs,tl1,tl2,tl3,tl4,tl5,tl6,tl7,tl8,tl9
repair_support,standard_human_damage_control,Human Damage-Control Crews,dedicated_core_integration,1,"Human crews perform in-combat repair using Damage Control Capacity, supplies, tools, access, and procedures.",baseline repair method,crew time; supplies; uncertain repair rolls,Damage Control Capacity; assistance; tools and access; supply efficiency; crew quality,Entry: human crews,Tools/procedures,Access/materials,Retained alongside robotics,Retained,Retained,Retained,Retained,Retained
repair_support,aux_repair_drone_bay,Repair Drone Bay,auxiliary_capacity,4,"Robotic repair assistance and autonomous diagnostics augment, rather than replace, Damage Control allocation.",repair assistance; hazardous-access work,power or supplies; assistance cap; no free extra repair step,repair modifier; supply efficiency; assistance cap; Tactical Power; reliability,Not available,Not available,Not available,Entry: robotic repair assistance,Robotics efficiency,Autonomous diagnostics/fabrication,Superseded or paired with self-healing,-,-
repair_support,aux_self_healing_repair,Self-Healing Repair System,auxiliary_capacity,7,"Candidate nanotechnological, adaptive-material, biological, or comparable self-healing support; exact implementation remains unresolved.",late-era autonomous recovery potential,"power, material, reliability, or rate limits to be defined",repair rate; eligible damage; power; materials; reliability; capacity cost,Not available,Not available,Not available,Not available,Not available,Not available,Entry: bounded self-healing,Efficiency/reliability,Pinnacle self-healing
utility_support,aux_hangar_bay,Auxiliary Hangar Bay,auxiliary_capacity,3,"Adds shuttle or small-craft capacity under explicit launch, recovery, replacement, and boarding rules.",additional craft capacity,capacity 2 candidate; force-multiplication risk,craft capacity; launch/recovery tempo; capacity cost; support requirements,Not available,Not available,Entry: additional craft capacity,-,Launch/recovery efficiency,-,Capacity/integration,-,Pinnacle hangar support
utility_support,aux_laboratory_module,Laboratory Module,auxiliary_capacity,1,"Research, analysis, and discovery support with bounded strategic returns.",research support,indirect combat value; diminishing returns,task bonus; throughput; time; power; diminishing returns,Entry: specialist laboratory,-,Throughput/analysis,-,Efficiency,-,Advanced analysis,-,Pinnacle laboratory
utility_support,aux_mining_module,Mining Module,auxiliary_capacity,1,"Resource extraction constrained by site, time, cargo, and throughput.",resource generation,time exposure; site and cargo limits,throughput; power; time; site cap; cargo interaction,Entry: specialist mining,-,Throughput,-,Efficiency,-,Advanced extraction,-,Pinnacle mining
utility_support,aux_fabrication_module,Fabrication Module,auxiliary_capacity,3,"Converts compatible cargo or salvage into supplies using time, power, recipes, and material input.",resource conversion,capacity 2 candidate; anti-loop constraints; time and input cost,recipe efficiency; throughput; power; time; material compatibility,Not available,Not available,Entry: bounded fabrication,Process control,-,Efficiency,-,Advanced conversion,Pinnacle fabrication
utility_support,aux_cargo_expansion,Cargo Expansion Module,auxiliary_capacity,1,Adds general cargo capacity within hull and mass limits.,flexible logistics,low direct combat value; possible maneuver or signature tradeoff,cargo capacity; mass or maneuver cost; capacity cost,Entry: cargo expansion,-,Capacity efficiency,-,Integration efficiency,-,Advanced storage,-,Pinnacle cargo support
utility_support,aux_kinetic_magazine_expansion,Kinetic Magazine Expansion,auxiliary_capacity,1,Adds Kinetic ammunition reserve while loaded Ready Packages remain with their weapons.,Kinetic endurance,damageable finite store; situational in short engagements,reserve capacity; protection; reload efficiency; capacity cost,Entry: extra Kinetic reserve,-,Protection/capacity,-,Reload efficiency,-,Capacity efficiency,-,Pinnacle Kinetic stores
utility_support,aux_missile_magazine_expansion,Missile Magazine Expansion,auxiliary_capacity,1,Adds Missile Flight reserve while loaded Ready Packages remain with their launchers.,Missile endurance,damageable finite store; situational in short engagements,reserve capacity; protection; reload efficiency; capacity cost,Entry: extra Missile reserve,-,Protection/capacity,-,Reload efficiency,-,Capacity efficiency,-,Pinnacle Missile stores
