auxiliary_family_id,display_name,role,installation_class,candidate_first_standard_item_tl,primary_research_category,minimum_primary_research_tl,support_floors,minimum_hull_tl,capacity_cost,power_behavior,stacking_rule,damageable,critical_exposure,tl1_fixture_evidence,balance_risk_tier,balance_risk_flags,blocking_concerns,availability_status,entry_policy,notes
aux_shield_hardener,Shield Hardener,flat Shield Armor protection,auxiliary_capacity,3,shields,3,power>=3,3,1,sustained_powered_protection,normally one; Shield Armor does not stack unless explicitly stated,true,1,Shield Armor mechanics and TL1 diagnostic fixtures exist,high,flat_damage_prevention; renewable_defense,prove low-damage weapons still make progress and SPEN retains value,candidate_only,raise_starting_tl_before_reducing_established_mechanical_identity,Starts at TL3 because flat prevention can create hard stalls at low packet sizes.
aux_ablative_armor,Ablative Armor Layer,expendable outer armor layer,auxiliary_capacity,1,armor,1,hull>=1,1,1,passive_expendable_layer,one outer ablative layer maximum,false,0,Layered armor rules already support one Auxiliary ablative layer,moderate,extra_defense_layer,set AP/AI and strategic replacement cost without making it routine in-combat repair,candidate_only,raise_starting_tl_before_reducing_established_mechanical_identity,Candidate early expendable protection with strict one-layer limit.
aux_energized_armor_controller,Energized Armor Controller,powered armor-protection enhancement,auxiliary_capacity,3,armor,3,power>=3,3,1,sustained_powered_armor_bonus,normally one; no additive protection stacking,true,1,Energized Armor has an established conceptual role,high,flat_damage_prevention; renewable_defense,ensure unpowered armor remains passive and powered bonus cannot stall common weapons,candidate_only,raise_starting_tl_before_reducing_established_mechanical_identity,Starts at TL3 because powered flat protection has the same stall risk as Shield Armor.
aux_evasive_maneuver_system,Evasive Maneuver System,full-turn defensive posture support,auxiliary_capacity,2,propulsion,2,computing_fire_control>=2,2,1,activation_power_plus_fuel_multiplier,one effective system; no defense-bonus stacking,true,1,EvM is implemented as a separate damageable Auxiliary,high,accuracy_denial; fuel_multiplier; action_tradeoff,"validate defense bonus, own-fire penalty, fuel and power costs together",candidate_only,raise_starting_tl_before_reducing_established_mechanical_identity,Starts at TL2 because a universal accuracy modifier is stronger than an ordinary stat refinement.
aux_active_sensor_array,Active Sensor Array,active search range and reacquisition support,auxiliary_capacity,1,sensors_ew,1,power>=1,1,1,sustained_or_windowed_active_power,normally one effective array; range bonuses do not stack additively,true,1,Active Sensors are implemented in TL1 defensive fixtures,moderate,information_advantage; emissions,retain emissions cost and range-only baseline before adding accuracy bonuses,candidate_only,raise_starting_tl_before_reducing_established_mechanical_identity,Candidate early active search capability; fixture evidence is not an availability promotion.
aux_ecm_suite,Electronic Countermeasures Suite,track-quality degradation and cooperative screening,auxiliary_capacity,2,sensors_ew,2,power>=2; computing_fire_control>=2,2,1,sustained_powered_emission,cooperative effect follows explicit non-additive or capped rule,true,1,ECM is implemented in TL1 defensive fixtures,high,cooperative_stacking; information_denial; emissions,"test multi-ship screens, ECCM response, emissions, and non-disclosure UI",candidate_only,raise_starting_tl_before_reducing_established_mechanical_identity,Starts at TL2 because cooperative information denial can scale faster than individual combat stats.
aux_eccm_suite,Electronic Counter-Countermeasures Suite,powered discrimination against ECM,auxiliary_capacity,2,sensors_ew,2,computing_fire_control>=2; power>=1,2,1,sustained_powered_processing,full Powered rating applies independently; multiple suites use an explicit cap,true,1,ECCM is implemented in TL1 defensive fixtures,high,cooperative_counter; information_advantage,keep floor paired with ECM and prevent unrestricted additive stacking,candidate_only,raise_starting_tl_before_reducing_established_mechanical_identity,Starts with ECM at TL2 so the counter exists at the same standard availability floor.
aux_tractor_projector,Tractor Projector,movement denial and hold effects,auxiliary_capacity,3,propulsion,3,power>=3; computing_fire_control>=2,3,2,sustained_high_power_projection,multiple tractors use explicit conflict and cap rules,true,1,"Tractor mechanics exist, but inherited Power 3 requires recalibration against TL-scaled movement",high,movement_denial; cooperative_stacking; high_power,recalibrate against ship Move = Drive TL and define multi-tractor conflicts,candidate_only,raise_starting_tl_before_reducing_established_mechanical_identity,Starts at TL3 because movement denial is a qualitative control capability.
aux_repair_drone_bay,Repair Drone Bay,Damage Control assistance,auxiliary_capacity,2,computing_fire_control,2,hull>=2,2,1,powered_or_supply_limited_assistance,assistance cap applies; no extra repair roll unless explicitly stated,true,1,Repair drones are listed as support items; Damage Control capacity rules exist,high,action_capacity; repair_efficiency,avoid creating extra condition steps or free supplies; test assistance cap,candidate_only,raise_starting_tl_before_reducing_established_mechanical_identity,Starts at TL2 because extra repair capacity can compound survival and resource efficiency.
aux_hangar_bay,Auxiliary Hangar Bay,additional shuttle or small-craft capacity,auxiliary_capacity,3,hull,3,computing_fire_control>=1,3,2,core_supported_with_launch_limits,limited by hull hangar capacity and explicit launch/recovery rules,true,1,Starting-ship shuttle assumptions and hangar Auxiliary concept exist,high,extra_unit_capacity; boarding_capacity,"define launch/recovery tempo, craft replacement, and boarding interaction",candidate_only,raise_starting_tl_before_reducing_established_mechanical_identity,Starts at TL3 because an extra craft is a qualitative force-multiplication milestone.
aux_laboratory_module,Laboratory Module,"research, analysis, and discovery support",auxiliary_capacity,1,sensors_ew,1,computing_fire_control>=1,1,1,core_supported_or_task_power,multiple laboratories use diminishing returns by task,true,1,Laboratories are listed as independent support items,moderate,economy_multiplier; research_acceleration,define strategic benefit and diminishing returns before promotion,candidate_only,raise_starting_tl_before_reducing_established_mechanical_identity,Candidate early specialist module; strategic payoff must be bounded.
aux_mining_module,Mining Module,resource extraction,auxiliary_capacity,1,hull,1,power>=1,1,1,task_power_and_time,multiple modules use site and throughput caps,true,1,Mining gear is listed as an independent support item,moderate,economy_multiplier; resource_generation,"define site depletion, time exposure, cargo interaction, and throughput cap",candidate_only,raise_starting_tl_before_reducing_established_mechanical_identity,Candidate early utility component; combat value is indirect.
aux_fabrication_module,Fabrication Module,conversion of cargo or salvage into supplies,auxiliary_capacity,2,hull,2,power>=2; computing_fire_control>=2,2,2,task_power_time_and_material_input,multiple modules use throughput caps and no recursive free-resource loop,true,1,Fabrication is established as a strategic source of Repair Supplies,high,economy_multiplier; resource_conversion,"define recipes, efficiency, time, and anti-loop constraints",candidate_only,raise_starting_tl_before_reducing_established_mechanical_identity,Starts at TL2 because broad resource conversion can dominate campaign logistics.
aux_cargo_expansion,Cargo Expansion Module,additional general cargo capacity,auxiliary_capacity,1,hull,1,none,1,1,core_supported_passive,multiple modules allowed within hull and mass limits,true,1,Cargo transfer and strategic resource use are established,low,capacity,set capacity and any maneuver or signature tradeoff,candidate_only,raise_starting_tl_before_reducing_established_mechanical_identity,Candidate baseline logistics option with low direct combat leverage.
aux_kinetic_magazine_expansion,Kinetic Magazine Expansion,additional Kinetic ammunition reserve,auxiliary_capacity,1,kinetic_weapons,1,hull>=1,1,1,passive_finite_store,multiple modules allowed; broad Kinetic magazine family,true,1,Broad Kinetic magazine damage and ready-package rules exist,moderate,finite_store; endurance,set capacity and damage consequences without per-weapon placement bookkeeping,candidate_only,raise_starting_tl_before_reducing_established_mechanical_identity,Candidate early endurance option; loaded Ready Packages remain separate.
aux_missile_magazine_expansion,Missile Magazine Expansion,additional Missile Flight reserve,auxiliary_capacity,1,missile_weapons,1,hull>=1,1,1,passive_finite_store,multiple modules allowed; broad Missile magazine family,true,1,Broad Missile magazine damage and ready-package rules exist,moderate,finite_store; endurance,"set capacity, reload assumptions, and loss on magazine disablement",candidate_only,raise_starting_tl_before_reducing_established_mechanical_identity,Candidate early endurance option for finite Missile Flights.
aux_communications_relay,Tactical Communications Relay,"datalink reach, coordination, and relay support",auxiliary_capacity,2,sensors_ew,2,computing_fire_control>=2,2,1,sustained_or_core_supported_relay,network effects require explicit range and non-additive relay rules,true,1,Missile datalink and communications architecture exist; no standard relay item is promoted,high,cooperative_stacking; information_advantage; datalink,"define line of sight, relay chaining, latency, and observer-safe information",candidate_only,raise_starting_tl_before_reducing_established_mechanical_identity,Starts at TL2 because network multiplication can amplify every missile and sensor platform.
